Distance(au)                    Energy(au)
0.65                    -0.84440358205
0.6547                    -0.851646989189
0.6594                    -0.858740106385
0.664                    -0.865540102366
0.6687                    -0.872345929891
0.6734                    -0.879011478636
0.6781                    -0.885539923094
0.6827                    -0.891799672053
0.6874                    -0.898065836135
0.6921                    -0.90420383674
0.6968                    -0.910216525817
0.7015                    -0.916106641096
0.7061                    -0.921755331205
0.7108                    -0.927410759895
0.7155                    -0.932951409357
0.7202                    -0.938379759603
0.7248                    -0.943586195121
0.7295                    -0.948799395481
0.7342                    -0.953907311056
0.7389                    -0.958912177948
0.7435                    -0.963712871102
0.7482                    -0.968520203111
0.7529                    -0.973230816931
0.7576                    -0.977846731396
0.7623                    -0.982369914352
0.7669                    -0.98670891069
0.7716                    -0.991054209805
0.7763                    -0.995312349668
0.781                    -0.999485108494
0.7856                    -1.00348807711
0.7903                    -1.0074969593
0.795                    -1.011425500822
0.7997                    -1.015275312511
0.8044                    -1.0190479666
0.809                    -1.022667115037
0.8137                    -1.026291585027
0.8184                    -1.029843364897
0.8231                    -1.03332388613
0.8277                    -1.036662697592
0.8324                    -1.040006307992
0.8371                    -1.043282732292
0.8418                    -1.046493276589
0.8464                    -1.049572946707
0.8511                    -1.052656867531
0.8558                    -1.055678627168
0.8605                    -1.058639418395
0.8652                    -1.06154040732
0.8698                    -1.064322861538
0.8745                    -1.067108852017
0.8792                    -1.069838359784
0.8839                    -1.072512449788
0.8885                    -1.075076983835
0.8932                    -1.07764446358
0.8979                    -1.08015955931
0.9026                    -1.082623245042
0.9073                    -1.085036473738
0.9119                    -1.087350395329
0.9166                    -1.089666511621
0.9213                    -1.091934889651
0.926                    -1.09415640441
0.9306                    -1.096286098029
0.9353                    -1.098417390156
0.94                    -1.10050431861
0.9447                    -1.102547688394
0.9493                    -1.104506162277
0.954                    -1.106465650391
0.9587                    -1.10838388215
0.9634                    -1.110261599336
0.9681                    -1.112099528587
0.9727                    -1.11386051035
0.9774                    -1.115621794046
0.9821                    -1.117345367368
0.9868                    -1.119031899566
0.9914                    -1.120647310962
0.9961                    -1.122262467632
1.0008                    -1.12384249625
1.0055                    -1.125388013165
1.0102                    -1.126899622146
1.0148                    -1.128346804566
1.0195                    -1.129793051129
1.0242                    -1.131207117248
1.0289                    -1.132589560031
1.0335                    -1.133912493192
1.0382                    -1.135233961773
1.0429                    -1.136525403157
1.0476                    -1.137787332941
1.0523                    -1.139020256895
1.0569                    -1.140199338882
1.0616                    -1.141376321837
1.0663                    -1.142525749997
1.071                    -1.143648092429
1.0756                    -1.144720770695
1.0803                    -1.145790866935
1.085                    -1.146835223992
1.0897                    -1.147854277311
1.0943                    -1.148827557595
1.099                    -1.149797793367
1.1037                    -1.15074397471
1.1084                    -1.15166650541
1.1131                    -1.152565781821
1.1177                    -1.153423781053
1.1224                    -1.154278182176
1.1271                    -1.155110465544
1.1318                    -1.155920998538
1.1364                    -1.156693571766
1.1411                    -1.157462122939
1.1458                    -1.158209978069
1.1505                    -1.158937478118
1.1552                    -1.159644958031
1.1598                    -1.160318315523
1.1645                    -1.160987144259
1.1692                    -1.16163691487
1.1739                    -1.162267938873
1.1785                    -1.162867679036
1.1832                    -1.163462506463
1.1879                    -1.164039484039
1.1926                    -1.16459890261
1.1972                    -1.16512969088
1.2019                    -1.165655202777
1.2066                    -1.166163993042
1.2113                    -1.166656333262
1.216                    -1.167132490661
1.2206                    -1.167583099413
1.2253                    -1.168028004986
1.23                    -1.168457496813
1.2347                    -1.168871824437
1.2393                    -1.16926288875
1.244                    -1.169647929373
