Distance(au)                    Energy(au)
1.3                    -1.173186681057
1.30010005                    -1.17319138806
1.3002001                    -1.173196089665
1.30030015                    -1.173200785876
1.3004002                    -1.173205476691
1.30050025                    -1.173210162113
1.3006003                    -1.173214842146
1.30070035                    -1.17321951679
1.3008004                    -1.173224186048
1.30090045                    -1.173228849922
1.3010005                    -1.17323350841
1.30110055                    -1.173238161519
1.3012006                    -1.173242809248
1.30130065                    -1.1732474516
1.3014007                    -1.173252088574
1.30150075                    -1.173256720176
1.3016008                    -1.173261346406
1.30170085                    -1.173265967265
1.3018009                    -1.173270582758
1.30190095                    -1.173275192881
1.302001                    -1.173279797641
1.30210105                    -1.173284397039
1.3022011                    -1.173288991075
1.30230115                    -1.173293579751
1.3024012                    -1.173298163071
1.30250125                    -1.173302741035
1.3026013                    -1.173307313645
1.30270135                    -1.173311880904
1.3028014                    -1.173316442813
1.30290145                    -1.173320999373
1.3030015                    -1.173325550587
1.30310155                    -1.173330096457
1.3032016                    -1.173334636985
1.30330165                    -1.173339172169
1.3034017                    -1.173343702016
1.30350175                    -1.173348226526
1.3036018                    -1.1733527457
1.30370185                    -1.173357259541
1.3038019                    -1.17336176805
1.30390195                    -1.173366271229
1.304002                    -1.173370769082
1.30410205                    -1.173375261605
1.3042021                    -1.173379748805
1.30430215                    -1.173384230683
1.3044022                    -1.173388707241
1.30450225                    -1.173393178478
1.3046023                    -1.173397644398
1.30470235                    -1.173402105003
1.3048024                    -1.173406560295
1.30490245                    -1.173411010276
1.3050025                    -1.173415454945
1.30510255                    -1.173419894307
1.3052026                    -1.173424328364
1.30530265                    -1.173428757116
1.3054027                    -1.173433180563
1.30550275                    -1.173437598711
1.3056028                    -1.17344201156
1.30570285                    -1.173446419112
1.3058029                    -1.173450821369
1.30590295                    -1.173455218331
1.306003                    -1.173459610002
1.30610305                    -1.173463996384
1.3062031                    -1.173468377476
1.30630315                    -1.173472753282
1.3064032                    -1.173477123805
1.30650325                    -1.173481489044
1.3066033                    -1.173485849002
1.30670335                    -1.173490203681
1.3068034                    -1.173494553083
1.30690345                    -1.173498897209
1.3070035                    -1.173503236062
1.30710355                    -1.173507569642
1.3072036                    -1.173511897955
1.30730365                    -1.173516220996
1.3074037                    -1.173520538771
1.30750375                    -1.173524851284
1.3076038                    -1.173529158531
1.30770385                    -1.173533460518
1.3078039                    -1.173537757246
1.30790395                    -1.173542048717
1.308004                    -1.173546334933
1.30810405                    -1.173550615892
1.3082041                    -1.173554891601
1.30830415                    -1.173559162059
1.3084042                    -1.17356342727
1.30850425                    -1.173567687233
1.3086043                    -1.173571941951
1.30870435                    -1.173576191426
1.3088044                    -1.17358043566
1.30890445                    -1.173584674655
1.3090045                    -1.17358890841
1.30910455                    -1.173593136931
1.3092046                    -1.173597360217
1.30930465                    -1.173601578272
1.3094047                    -1.173605791034
1.30950475                    -1.173609998629
1.3096048                    -1.173614200996
1.30970485                    -1.173618398138
1.3098049                    -1.173622590057
1.30990495                    -1.173626776754
1.310005                    -1.173630958232
1.31010505                    -1.173635134492
1.3102051                    -1.173639305534
1.31030515                    -1.173643471362
1.3104052                    -1.173647631978
1.31050525                    -1.173651787383
1.3106053                    -1.173655937578
1.31070535                    -1.173660082566
1.3108054                    -1.173664222348
1.31090545                    -1.173668356927
1.3110055                    -1.173672486304
1.31110555                    -1.17367661048
